      V(6)              V(3)        {(I(RR2)+I(RR1))/2}  {I(RR2)-I(RR1)} 
  -9.82200000e-01    1.46370198e-01    1.64468920e-06    1.29666683e-07
  -9.82100000e-01    1.46370198e-01    1.64468681e-06    1.29660424e-07
  -9.82000000e-01    1.46370198e-01    1.64468442e-06    1.29654164e-07
  -9.81900000e-01    1.46370198e-01    1.64468202e-06    1.29647904e-07
  -9.81800000e-01    1.46370198e-01    1.64467963e-06    1.29641645e-07
  -9.81700000e-01    1.46370198e-01    1.64467724e-06    1.29635385e-07
  -9.81600000e-01    1.46370198e-01    1.64467485e-06    1.29629126e-07
  -9.81500000e-01    1.46370198e-01    1.64467245e-06    1.29622866e-07
  -9.81400000e-01    1.46370198e-01    1.64467006e-06    1.29616607e-07
  -9.81300000e-01    1.46370198e-01    1.64466767e-06    1.29610347e-07
  -9.81200000e-01    1.46370198e-01    1.64466528e-06    1.29604088e-07
  -9.81100000e-01    1.46370198e-01    1.64466289e-06    1.29597828e-07
  -9.81000000e-01    1.46370198e-01    1.64466049e-06    1.29591569e-07
  -9.80900000e-01    1.46370198e-01    1.64465810e-06    1.29585310e-07
  -9.80800000e-01    1.46370198e-01    1.64465571e-06    1.29579050e-07
  -9.80700000e-01    1.46370198e-01    1.64465332e-06    1.29572791e-07
  -9.80600000e-01    1.46370198e-01    1.64465092e-06    1.29566532e-07
  -9.80500000e-01    1.46370198e-01    1.64464853e-06    1.29560272e-07
  -9.80400000e-01    1.46370198e-01    1.64464614e-06    1.29554013e-07
  -9.80300000e-01    1.46370198e-01    1.64464375e-06    1.29547754e-07
  -9.80200000e-01    1.46370198e-01    1.64464136e-06    1.29541495e-07
  -9.80100000e-01    1.46370198e-01    1.64463896e-06    1.29535235e-07
  -9.80000000e-01    1.46370198e-01    1.64463657e-06    1.29528976e-07
  -9.79900000e-01    1.46370198e-01    1.64463418e-06    1.29522717e-07
  -9.79800000e-01    1.46370198e-01    1.64463179e-06    1.29516458e-07
  -9.79700000e-01    1.46370198e-01    1.64462940e-06    1.29510199e-07
  -9.79600000e-01    1.46370198e-01    1.64462700e-06    1.29503940e-07
  -9.79500000e-01    1.46370198e-01    1.64462461e-06    1.29497681e-07
  -9.79400000e-01    1.46370198e-01    1.64462222e-06    1.29491422e-07
  -9.79300000e-01    1.46370198e-01    1.64461983e-06    1.29485163e-07
  -9.79200000e-01    1.46370198e-01    1.64461744e-06    1.29478904e-07
  -9.79100000e-01    1.46370198e-01    1.64461504e-06    1.29472645e-07
  -9.79000000e-01    1.46370198e-01    1.64461265e-06    1.29466386e-07
  -9.78900000e-01    1.46370198e-01    1.64461026e-06    1.29460127e-07
  -9.78800000e-01    1.46370198e-01    1.64460787e-06    1.29453868e-07
  -9.78700000e-01    1.46370198e-01    1.64460548e-06    1.29447609e-07
  -9.78600000e-01    1.46370198e-01    1.64460308e-06    1.29441350e-07
  -9.78500000e-01    1.46370198e-01    1.64460069e-06    1.29435091e-07
  -9.78400000e-01    1.46370198e-01    1.64459830e-06    1.29428833e-07
  -9.78300000e-01    1.46370198e-01    1.64459591e-06    1.29422574e-07
  -9.78200000e-01    1.46370198e-01    1.64459352e-06    1.29416315e-07
  -9.78100000e-01    1.46370198e-01    1.64459112e-06    1.29410056e-07
  -9.78000000e-01    1.46370198e-01    1.64458873e-06    1.29403798e-07
  -9.77900000e-01    1.46370198e-01    1.64458634e-06    1.29397539e-07
  -9.77800000e-01    1.46370198e-01    1.64458395e-06    1.29391280e-07
  -9.77700000e-01    1.46370198e-01    1.64458156e-06    1.29385021e-07
  -9.77600000e-01    1.46370198e-01    1.64457917e-06    1.29378763e-07
  -9.77500000e-01    1.46370198e-01    1.64457677e-06    1.29372504e-07
  -9.77400000e-01    1.46370198e-01    1.64457438e-06    1.29366246e-07
  -9.77300000e-01    1.46370198e-01    1.64457199e-06    1.29359987e-07
  -9.77200000e-01    1.46370198e-01    1.64456960e-06    1.29353729e-07
  -9.77100000e-01    1.46370198e-01    1.64456721e-06    1.29347470e-07
  -9.77000000e-01    1.46370198e-01    1.64456481e-06    1.29341212e-07
  -9.76900000e-01    1.46370198e-01    1.64456242e-06    1.29334953e-07
  -9.76800000e-01    1.46370198e-01    1.64456003e-06    1.29328695e-07
  -9.76700000e-01    1.46370198e-01    1.64455764e-06    1.29322436e-07
  -9.76600000e-01    1.46370198e-01    1.64455525e-06    1.29316178e-07
  -9.76500000e-01    1.46370198e-01    1.64455286e-06    1.29309919e-07
  -9.76400000e-01    1.46370198e-01    1.64455046e-06    1.29303661e-07
  -9.76300000e-01    1.46370198e-01    1.64454807e-06    1.29297403e-07
  -9.76200000e-01    1.46370198e-01    1.64454568e-06    1.29291144e-07
  -9.76100000e-01    1.46370198e-01    1.64454329e-06    1.29284886e-07
  -9.76000000e-01    1.46370198e-01    1.64454090e-06    1.29278628e-07
  -9.75900000e-01    1.46370198e-01    1.64453851e-06    1.29272370e-07
  -9.75800000e-01    1.46370198e-01    1.64453611e-06    1.29266111e-07
  -9.75700000e-01    1.46370198e-01    1.64453372e-06    1.29259853e-07
  -9.75600000e-01    1.46370198e-01    1.64453133e-06    1.29253595e-07
  -9.75500000e-01    1.46370198e-01    1.64452894e-06    1.29247337e-07
  -9.75400000e-01    1.46370198e-01    1.64452655e-06    1.29241079e-07
  -9.75300000e-01    1.46370198e-01    1.64452416e-06    1.29234820e-07
  -9.75200000e-01    1.46370198e-01    1.64452177e-06    1.29228562e-07
  -9.75100000e-01    1.46370198e-01    1.64451937e-06    1.29222304e-07
  -9.75000000e-01    1.46370198e-01    1.64451698e-06    1.29216046e-07
  -9.74900000e-01    1.46370198e-01    1.64451459e-06    1.29209788e-07
  -9.74800000e-01    1.46370198e-01    1.64451220e-06    1.29203530e-07
  -9.74700000e-01    1.46370198e-01    1.64450981e-06    1.29197272e-07
  -9.74600000e-01    1.46370198e-01    1.64450742e-06    1.29191014e-07
  -9.74500000e-01    1.46370198e-01    1.64450503e-06    1.29184756e-07
  -9.74400000e-01    1.46370198e-01    1.64450263e-06    1.29178498e-07
  -9.74300000e-01    1.46370198e-01    1.64450024e-06    1.29172241e-07
  -9.74200000e-01    1.46370198e-01    1.64449785e-06    1.29165983e-07
  -9.74100000e-01    1.46370198e-01    1.64449546e-06    1.29159725e-07
  -9.74000000e-01    1.46370198e-01    1.64449307e-06    1.29153467e-07
  -9.73900000e-01    1.46370198e-01    1.64449068e-06    1.29147209e-07
  -9.73800000e-01    1.46370198e-01    1.64448829e-06    1.29140951e-07
  -9.73700000e-01    1.46370198e-01    1.64448589e-06    1.29134694e-07
  -9.73600000e-01    1.46370198e-01    1.64448350e-06    1.29128436e-07
  -9.73500000e-01    1.46370198e-01    1.64448111e-06    1.29122178e-07
  -9.73400000e-01    1.46370198e-01    1.64447872e-06    1.29115920e-07
  -9.73300000e-01    1.46370198e-01    1.64447633e-06    1.29109663e-07
  -9.73200000e-01    1.46370198e-01    1.64447394e-06    1.29103405e-07
  -9.73100000e-01    1.46370198e-01    1.64447155e-06    1.29097148e-07
  -9.73000000e-01    1.46370198e-01    1.64446916e-06    1.29090890e-07
  -9.72900000e-01    1.46370198e-01    1.64446676e-06    1.29084632e-07
  -9.72800000e-01    1.46370198e-01    1.64446437e-06    1.29078375e-07
  -9.72700000e-01    1.46370198e-01    1.64446198e-06    1.29072117e-07
  -9.72600000e-01    1.46370198e-01    1.64445959e-06    1.29065860e-07
  -9.72500000e-01    1.46370198e-01    1.64445720e-06    1.29059602e-07
  -9.72400000e-01    1.46370198e-01    1.64445481e-06    1.29053345e-07
  -9.72300000e-01    1.46370198e-01    1.64445242e-06    1.29047087e-07
  -9.72200000e-01    1.46370198e-01    1.64445003e-06    1.29040830e-07
  -9.72100000e-01    1.46370198e-01    1.64444764e-06    1.29034573e-07
  -9.72000000e-01    1.46370198e-01    1.64444524e-06    1.29028315e-07
  -9.71900000e-01    1.46370198e-01    1.64444285e-06    1.29022058e-07
  -9.71800000e-01    1.46370198e-01    1.64444046e-06    1.29015800e-07
  -9.71700000e-01    1.46370198e-01    1.64443807e-06    1.29009543e-07
  -9.71600000e-01    1.46370198e-01    1.64443568e-06    1.29003286e-07
  -9.71500000e-01    1.46370198e-01    1.64443329e-06    1.28997029e-07
  -9.71400000e-01    1.46370198e-01    1.64443090e-06    1.28990771e-07
  -9.71300000e-01    1.46370198e-01    1.64442851e-06    1.28984514e-07
  -9.71200000e-01    1.46370198e-01    1.64442612e-06    1.28978257e-07
  -9.71100000e-01    1.46370198e-01    1.64442373e-06    1.28972000e-07
  -9.71000000e-01    1.46370198e-01    1.64442133e-06    1.28965743e-07
  -9.70900000e-01    1.46370198e-01    1.64441894e-06    1.28959485e-07
  -9.70800000e-01    1.46370198e-01    1.64441655e-06    1.28953228e-07
  -9.70700000e-01    1.46370198e-01    1.64441416e-06    1.28946971e-07
  -9.70600000e-01    1.46370198e-01    1.64441177e-06    1.28940714e-07
  -9.70500000e-01    1.46370198e-01    1.64440938e-06    1.28934457e-07
  -9.70400000e-01    1.46370198e-01    1.64440699e-06    1.28928200e-07
  -9.70300000e-01    1.46370198e-01    1.64440460e-06    1.28921943e-07
  -9.70200000e-01    1.46370198e-01    1.64440221e-06    1.28915686e-07
  -9.70100000e-01    1.46370198e-01    1.64439982e-06    1.28909429e-07
  -9.70000000e-01    1.46370198e-01    1.64439743e-06    1.28903172e-07
  -9.69900000e-01    1.46370198e-01    1.64439503e-06    1.28896915e-07
  -9.69800000e-01    1.46370198e-01    1.64439264e-06    1.28890658e-07
  -9.69700000e-01    1.46370198e-01    1.64439025e-06    1.28884402e-07
  -9.69600000e-01    1.46370198e-01    1.64438786e-06    1.28878145e-07
  -9.69500000e-01    1.46370198e-01    1.64438547e-06    1.28871888e-07
  -9.69400000e-01    1.46370198e-01    1.64438308e-06    1.28865631e-07
  -9.69300000e-01    1.46370198e-01    1.64438069e-06    1.28859374e-07
  -9.69200000e-01    1.46370198e-01    1.64437830e-06    1.28853118e-07
  -9.69100000e-01    1.46370198e-01    1.64437591e-06    1.28846861e-07
  -9.69000000e-01    1.46370198e-01    1.64437352e-06    1.28840604e-07
  -9.68900000e-01    1.46370198e-01    1.64437113e-06    1.28834347e-07
  -9.68800000e-01    1.46370198e-01    1.64436874e-06    1.28828091e-07
  -9.68700000e-01    1.46370198e-01    1.64436635e-06    1.28821834e-07
  -9.68600000e-01    1.46370198e-01    1.64436396e-06    1.28815578e-07
  -9.68500000e-01    1.46370198e-01    1.64436156e-06    1.28809321e-07
  -9.68400000e-01    1.46370198e-01    1.64435917e-06    1.28803064e-07
  -9.68300000e-01    1.46370198e-01    1.64435678e-06    1.28796808e-07
  -9.68200000e-01    1.46370198e-01    1.64435439e-06    1.28790551e-07
  -9.68100000e-01    1.46370198e-01    1.64435200e-06    1.28784295e-07
  -9.68000000e-01    1.46370198e-01    1.64434961e-06    1.28778038e-07
  -9.67900000e-01    1.46370198e-01    1.64434722e-06    1.28771782e-07
  -9.67800000e-01    1.46370198e-01    1.64434483e-06    1.28765525e-07
  -9.67700000e-01    1.46370198e-01    1.64434244e-06    1.28759269e-07
  -9.67600000e-01    1.46370198e-01    1.64434005e-06    1.28753013e-07
  -9.67500000e-01    1.46370198e-01    1.64433766e-06    1.28746756e-07
  -9.67400000e-01    1.46370198e-01    1.64433527e-06    1.28740500e-07
  -9.67300000e-01    1.46370198e-01    1.64433288e-06    1.28734244e-07
  -9.67200000e-01    1.46370198e-01    1.64433049e-06    1.28727987e-07
  -9.67100000e-01    1.46370198e-01    1.64432810e-06    1.28721731e-07
  -9.67000000e-01    1.46370198e-01    1.64432571e-06    1.28715475e-07
  -9.66900000e-01    1.46370198e-01    1.64432332e-06    1.28709218e-07
  -9.66800000e-01    1.46370198e-01    1.64432093e-06    1.28702962e-07
  -9.66700000e-01    1.46370198e-01    1.64431854e-06    1.28696706e-07
  -9.66600000e-01    1.46370198e-01    1.64431614e-06    1.28690450e-07
  -9.66500000e-01    1.46370198e-01    1.64431375e-06    1.28684194e-07
  -9.66400000e-01    1.46370198e-01    1.64431136e-06    1.28677938e-07
