      V(6)              V(3)        {(I(RR2)+I(RR1))/2}  {I(RR2)-I(RR1)} 
  -8.32000000e-02   -6.16414467e-01    1.08587925e-06   -5.78743951e-07
  -8.31000000e-02   -6.16414467e-01    1.08568320e-06   -5.78047783e-07
  -8.30000000e-02   -6.16414467e-01    1.08548731e-06   -5.77351557e-07
  -8.29000000e-02   -6.16414467e-01    1.08529157e-06   -5.76655275e-07
  -8.28000000e-02   -6.16414467e-01    1.08509599e-06   -5.75958937e-07
  -8.27000000e-02   -6.16414467e-01    1.08490056e-06   -5.75262544e-07
  -8.26000000e-02   -6.16414467e-01    1.08470528e-06   -5.74566096e-07
  -8.25000000e-02   -6.16414466e-01    1.08451016e-06   -5.73869593e-07
  -8.24000000e-02   -6.16414466e-01    1.08431520e-06   -5.73173035e-07
  -8.23000000e-02   -6.16414466e-01    1.08412039e-06   -5.72476424e-07
  -8.22000000e-02   -6.16414466e-01    1.08392574e-06   -5.71779759e-07
  -8.21000000e-02   -6.16414466e-01    1.08373124e-06   -5.71083040e-07
  -8.20000000e-02   -6.16414466e-01    1.08353690e-06   -5.70386269e-07
  -8.19000000e-02   -6.16414466e-01    1.08334272e-06   -5.69689445e-07
  -8.18000000e-02   -6.16414466e-01    1.08314869e-06   -5.68992570e-07
  -8.17000000e-02   -6.16414466e-01    1.08295482e-06   -5.68295642e-07
  -8.16000000e-02   -6.16414465e-01    1.08276111e-06   -5.67598663e-07
  -8.15000000e-02   -6.16414465e-01    1.08256756e-06   -5.66901633e-07
  -8.14000000e-02   -6.16414465e-01    1.08237416e-06   -5.66204552e-07
  -8.13000000e-02   -6.16414465e-01    1.08218093e-06   -5.65507422e-07
  -8.12000000e-02   -6.16414465e-01    1.08198785e-06   -5.64810241e-07
  -8.11000000e-02   -6.16414465e-01    1.08179493e-06   -5.64113010e-07
  -8.10000000e-02   -6.16414465e-01    1.08160217e-06   -5.63415731e-07
  -8.09000000e-02   -6.16414465e-01    1.08140957e-06   -5.62718403e-07
  -8.08000000e-02   -6.16414465e-01    1.08121713e-06   -5.62021026e-07
  -8.07000000e-02   -6.16414465e-01    1.08102485e-06   -5.61323601e-07
  -8.06000000e-02   -6.16414464e-01    1.08083273e-06   -5.60626128e-07
  -8.05000000e-02   -6.16414464e-01    1.08064077e-06   -5.59928608e-07
  -8.04000000e-02   -6.16414464e-01    1.08044898e-06   -5.59231041e-07
  -8.03000000e-02   -6.16414464e-01    1.08025734e-06   -5.58533427e-07
  -8.02000000e-02   -6.16414464e-01    1.08006587e-06   -5.57835767e-07
  -8.01000000e-02   -6.16414464e-01    1.07987455e-06   -5.57138062e-07
  -8.00000000e-02   -6.16414464e-01    1.07968340e-06   -5.56440310e-07
  -7.99000000e-02   -6.16414464e-01    1.07949242e-06   -5.55742513e-07
